customer_id,query
601,I received a damaged item, I want to return it.
602,My refund for a return has not been processed.
603,How long is the return window?
604,Can I get an exchange instead of a refund?
605,How long does it take for you to receive my return?
606,Can I return a product if the box is opened?
607,What are the conditions for a return?
608,How do I handle a return for a product that is too heavy to ship?
609,Can I return an item that was a gift?
610,What is the address for returns?
611,The item I ordered is not what I expected.
612,My return has not been processed.
613,How can I get a replacement for a returned item?
614,I am having a problem with the return form.
615,My order was incorrect, I need to return it.
616,I want to return a purchase from last week.
617,What is your policy for returns?
618,I'm missing a part from my delivery.
619,How do I get a return label?
620,I received the wrong item in my shipment.
621,What are your international shipping options?
622,I need to find out the status of my shipment.
623,Can I track my package without a tracking number?
624,I need to change my shipping address.
625,How long will it take for my order to be delivered?
626,My package is stuck in transit.
627,My order shows as delivered but I don't have it.
628,Can you tell me where my package is right now?
629,I received a delivery from a carrier I did not choose.
630,I need to find out the delivery status of my order.
631,What is the warranty period for this product?
632,I need to file a warranty claim.
633,Does the warranty cover accidental damage?
634,How do I register my product for the warranty?
635,What is covered under the manufacturer's warranty?
636,My product broke after only a month of use.
637,How can I extend the warranty on my device?
638,What are the terms and conditions of the warranty?
639,My product stopped working and is still under warranty.
640,Can I transfer the warranty to a new owner?
641,What is the process for an extended warranty?
642,My product broke after the warranty expired.
643,I want to cancel my recent order.
644,How can I stop my subscription?
645,Is there a deadline to cancel an order?
646,How do I cancel my trial subscription before it renews?
647,Can I cancel a single item from my order?
648,I need to cancel my order that has not been shipped.
649,How do I cancel my subscription permanently?
650,Is there a fee for canceling an order?